Gene,Fold Change
Dsp,-90.1292
Dsp,-69.0951
Tdo2,-47.2277
Npnt,-13.241
Npnt,-12.5474
Trhr,-9.6491
Ryr1,-9.4705
Nhlh1,9.3976
Dclk3,-9.1633
Cpne9,9.1587
Capn3,-8.9689
Mm.405423,-8.426
Ccbe1,-8.0416
Necab3,7.8041
Calb1,-7.6628
AV328597,-7.5109
Npy2r,-7.3859
Rreb1,-7.2306
Gfra2,-7.1538
Penk,6.9772
1810010H24Rik,6.8683
Ryr1,-6.6173
Cdhr1,-6.5615
Cnih3,-6.532
Hrk,-6.4941
Chst9,-6.4672
Capn3,-6.2106
Rtl3,-6.1865
Lor,-6.0757
Spon1,-5.9425
AV348640,5.9059
Frmd3,5.8881
Necab3,5.8854
Nptx2,5.7511
1460101_at,5.6457
Spon1,-5.6287
Mndal,5.6258
Calb1,-5.5579
Marcksl1,-5.3687
Matn2,-5.3615
Matn2,-5.3333
Arr3,5.2469
Spon1,-5.2439
Akain1,-5.1927
Cntn3,-5.1878
Calb1,-5.0921
Grp,4.946
Drd1,4.8996
Sorcs3,4.8829
Il1r1,-4.7523
Pcsk5,-4.7485
Mndal,4.7004
Ptger4,4.6607
Myo1b,4.6309
Robo3,4.5579
Marcksl1,-4.5366
Tdo2,-4.4056
Lamb1,-4.4053
Ror1,-4.3483
Olfml2b,-4.3066
B3galt2,-4.2895
4833422C13Rik,-4.2415
Pcsk5,-4.2215
Rprm,-4.2102
Bcl6,-4.2054
Marcksl1,-4.1773
B3galt2,-4.1474
Neu2,4.144
Myh7b,4.1052
Drd1,4.0946
Gfra2,-4.0697
Rapgef5,-4.0499
Tmtc4,-4.0454
Olfm2,4.0425
Nrxn3,4.0354
BB023951,4.0236
Fam184b,-3.9436
Ramp3,3.9214
Rwdd3,-3.9049
Tdo2,-3.8859
Ackr3,-3.8527
Arhgef28,-3.8448
Rassf3,3.8339
Il16,-3.8287
Sulf1,3.8069
Cebpd,-3.7693
BC030499,3.7531
Tmem255a,-3.7446
Rab26,-3.7173
Trim66,3.6942
Gpr12,-3.693
Rapgef5,-3.6845
Myo1b,3.6772
Prdm8,-3.6683
Frmd4b,-3.664
Il16,-3.6433
Inpp4b,-3.6254
Glra2,-3.62
Tsnax,3.6
Tmem255a,-3.5884
Plcb4,3.568
A930041H05Rik,3.5674
Ifi203,3.5405
Arhgap15,-3.5262
Slc6a15,-3.5219
Pcdh19,-3.5175
Lmo1,-3.5131
Efcab1,-3.513
Greb1l,-3.5087
Sowahb,3.4946
Tspan18,-3.4874
Frmd4b,-3.4364
Hs6st2,3.4301
Tmem255a,-3.4113
Arr3,3.4059
Ptgr1,-3.4028
Dgat2,-3.4023
Frzb,-3.3657
Gstm7,-3.3518
Epb41,3.3423
Lcorl,-3.3404
Olfm3,-3.3347
Kcnt2,3.334
