Gene,Fold Change
Zar1,22.716
Ccdc153,-19.9539
Trpa1,-19.6865
Calml4,-17.3328
Fam216b,-15.2117
Gjb4,14.2284
Gng8,13.3085
4833415N18Rik,12.1882
Rtl3,-12.1309
Chodl,12.1209
Ogn,-12.0852
Chmp4c,11.93
Penk,11.7795
Shisa8,11.6237
Ly6g6e,11.535
Gm13749,10.5418
Ccdc68,10.3137
Kcnj13,-9.5561
Serpina9,9.3627
Cldn3,9.1586
Cstl1,9.0149
Slc13a4,-8.6891
Tdrd9,8.6089
Otx2,-8.5709
Gsdma,8.1616
Ptprcap,7.9419
Slc22a2,-7.9398
Oit3,7.7716
Serpina3g,6.9497
Drd4,6.7888
Gm4265,-6.5931
Lefty2,6.5822
Agmat,6.5644
Vwa3a,-6.5399
Cdc25c,6.4361
Cfap53,-6.4027
Mpzl2,-5.8632
Prlr,5.8466
Il1r2,5.7011
Lbp,-5.6034
Gpr88,-5.548
Aldh1a2,-5.5179
Trabd2b,-5.4994
Gm16551,-5.4697
Stac,5.4002
Vwa5b1,-5.3287
Ramp3,-5.3129
Ak7,-5.2954
Dnah6,-5.2148
Tmc6,5.1366
F2rl2,5.0909
Rmrp,5.0537
Pcdhb1,-5.0043
Col6a1,5.0035
Slc47a1,-5.0023
Wnt9a,-4.9953
Wisp1,4.9692
Cxcl10,4.969
Wfikkn2,-4.913
Col6a4,-4.8959
3300002P13Rik,-4.8177
Tdo2,-4.642
Fam160a1,-4.6093
Dusp9,4.6035
Serinc2,4.592
Cxcl5,4.5345
Igfbp6,4.4743
Aplnr,4.409
Ttr,-4.4035
Rprm,4.3425
Drd1,4.3198
Rbp3,4.3068
Slc22a6,-4.3053
Rasef,4.2986
Loxhd1,4.2539
C630031E19Rik,-4.2323
Aox3,-4.2156
Cd1d1,4.1992
Nptx2,4.1986
Gmnc,-4.1789
Wnt16,-4.1278
Drc7,-4.1222
Necab3,3.9534
Scgn,-3.9517
Cda,3.9286
Col18a1,3.8895
Cdh7,3.8538
Fbln2,3.8323
Tmem171,-3.8111
Gm16796,3.7963
Arsi,-3.7795
Igfbpl1,3.7251
Gfra2,-3.6711
Sorcs1,3.65
Ptgds,-3.6076
Trdn,-3.576
Pgr15l,3.5723
Dsp,-3.5402
Sema3a,3.5261
Onecut1,-3.5234
Prom2,3.4862
Aspg,3.4824
Gm20125,3.4693
Batf3,3.4661
Gal,3.4594
Tac2,3.444
Adamts18,3.4438
Tusc5,-3.4378
Gpc3,-3.4351
Dnah11,-3.4337
Iqca,-3.4329
Lemd1,3.4189
Foxp2,3.4126
Cngb1,-3.3976
Tnnt2,-3.3974
Col27a1,3.3434
Tnn,3.3316
Mybpc3,3.3035
Icam4,-3.2957
Plpp4,3.2522
Fbn1,-3.2333
Slc26a10,-3.2287
Clic6,-3.2266
Il27ra,-3.2172
Capn3,-3.2075
Myo1h,-3.202
Gpr83,3.1692
Akr1b8,3.1622
Ryr1,-3.1364
Gpnmb,3.1362
Ptger3,3.1053
Grp,3.1038
Pappa2,3.1005
Npy,3.0775
Acvr1c,3.0722
Hist1h1e,3.0699
Ptx4,-3.055
Clec1a,-3.0506
Phex,3.0458
Pappa,3.0408
Tnfrsf12a,3.0064
Card6,-2.9957
Slc6a13,-2.9956
Rgs13,-2.9916
Plekhd1,-2.9883
Sphk1,2.9613
Smyd1,2.9599
Cacng5,-2.9574
Piezo2,2.9104
Kcna5,-2.89
Gadd45a,2.8759
Sp6,-2.8678
Gm16740,-2.8606
Kcne1l,2.8539
Cort,-2.8514
Acot12,-2.84
Htr5b,2.839
Ror1,-2.8299
Sox11,2.8285
Gfap,2.8245
Gimap4,2.8207
Tecta,2.8123
Ngb,-2.7996
Slc17a9,-2.7926
Itpr1,-2.7923
Igfbp5,-2.7842
Lrrc36,-2.7802
Fat4,-2.7772
Rgs4,2.7723
Atp6v1c2,-2.7691
Asic4,-2.7669
Megf11,2.7667
Otof,-2.7549
Slc6a20a,-2.7474
Oprd1,2.7382
Umodl1,-2.7353
Gpr139,2.7236
Ppp1r3b,-2.7231
Ntf3,-2.7201
Bmp3,2.7027
Gm16907,-2.6984
Mei1,2.6914
Agtr1a,-2.69
Igf2,-2.672
Kif4,2.6647
Blnk,2.6518
Sec14l4,-2.6491
Ecel1,2.6419
Dach2,2.6383
Gck,-2.6379
Scand1,2.6355
Cdca2,2.6286
Kcne4,-2.628
Ret,2.627
Sgcz,2.6246
Slc43a3,2.6224
Cass4,2.6116
Pdlim1,2.6046
Scube1,2.5885
Spint1,2.5856
Pla2g4e,-2.5747
Pclaf,2.5742
Acp7,2.5699
Slc10a4,2.558
Neurod4,2.5543
Trim67,2.5538
Pou6f2,2.5429
Pdyn,-2.5422
BC018473,-2.5418
Serpina3n,2.5389
Endou,2.5354
Ppl,2.5238
Plekhg4,-2.5225
Tcim,-2.5212
Tnxb,-2.5183
Nkx3-1,-2.5039
Lamc2,2.5013
Upp1,-2.4973
Gm11549,2.4916
Bhlhe41,2.4905
Shh,2.4873
Ghsr,2.4841
Sema3e,2.4793
Ecm2,-2.4729
Gypc,-2.4646
Zfp987,-2.4555
Adra2c,2.4548
Tcf23,-2.4513
Cyp27b1,-2.4474
Asb11,-2.4427
Ier5,2.4363
Lum,-2.422
Ubald2,2.4189
Ralgapa2,-2.4126
Plekhh2,-2.4066
Catsperg1,-2.4063
Tmem158,2.4019
Fzd5,-2.3992
Nptxr,2.3947
Acta2,-2.3942
Fhad1,-2.3789
Asb18,-2.3776
Otop2,2.3758
Kcnk9,-2.3724
Hrk,-2.3603
1700063D05Rik,-2.3589
Sp9,2.3583
Mkx,-2.3465
Ngfr,-2.345
Six4,2.3431
Adgrf4,2.3421
Ccnb1,2.3245
Pparg,2.3219
Lmo1,-2.3192
Dusp5,2.31
Lamb3,-2.3045
Fndc1,-2.2945
Parp3,2.2913
Osmr,2.2838
Xkrx,-2.2833
Sema3c,2.2784
Grik3,-2.2742
Zfp703,2.2729
Wnt10a,2.2687
Gadl1,2.2608
Fam111a,2.2569
Adcy1,-2.2538
Calb1,-2.2491
Matn2,-2.2431
Pdzd3,-2.2382
Ctxn3,2.2361
C4b,2.2359
Alx4,-2.2323
Gm7367,-2.2322
Kcng3,-2.23
Cenpi,2.2276
A230077H06Rik,-2.2271
P4ha3,2.2266
Npas4,-2.2247
Hspb6,2.2226
Zfp771,2.2211
Eda2r,2.2193
Pla2g2f,-2.2189
Mkrn3,2.2156
Prcd,-2.2145
Chst7,2.2141
AW549542,-2.2132
Lhfp,2.2125
Egln3,2.2113
Lgr6,-2.2071
S100a10,2.2035
Cish,2.2004
4931408D14Rik,2.1992
Tmem91,2.1899
Rassf8,2.1793
Pgm5,-2.1753
Fosb,2.1707
Sh2d5,2.1677
Olfml2a,-2.1642
Mamdc2,2.1629
Ccdc69,-2.1604
Hcrtr1,2.1508
Dcx,2.1505
Abca4,2.1502
Kif18a,2.1474
Cox6a2,-2.1428
Cdhr3,-2.1362
Fras1,2.1322
Sypl2,-2.1241
Cntf,2.1169
Unc5d,2.1144
Insm1,2.1114
Sulf1,2.1109
Fam222a,2.1103
Aloxe3,-2.1096
Slc9a5,-2.1074
Vgf,2.1009
F13a1,-2.1004
Igsf1,-2.1003
Lhfpl1,2.0991
Wnt2,2.094
Arc,2.0875
Cyth4,-2.0838
Kl,-2.0834
Bcl6,-2.0762
Tymp,2.0733
Impg2,2.0694
Fam196a,2.069
Mpp7,2.0678
Tmco5,-2.0609
Dbh,-2.0605
Ptchd4,-2.0556
Lpo,2.0552
9930014A18Rik,-2.0551
Sec1,-2.0531
Gadd45b,2.0509
Smo,-2.0497
Tnfsf13,-2.0477
Ccnb2,2.0449
Mcub,2.0442
Pik3r1,2.041
Gpr12,-2.0406
Panx1,2.0393
Cobl,2.0391
Gabrd,-2.0347
Pthlh,-2.0328
Rxfp3,2.0327
Enpp1,-2.0324
Lama1,-2.0319
Pip5k1b,-2.0283
Slc5a3,2.0277
Tnfrsf8,2.0252
Bmp7,-2.0251
Cd24a,2.0247
Egfem1,-2.0237
Draxin,2.0211
Hspa1b,2.021
2310002F09Rik,2.0184
Ckap2,2.0169
Shmt1,-2.0146
1700030C10Rik,-2.0106
Mki67,2.0079
Kcnf1,-2.0051
Rasgrp1,2.002
Colgalt2,-1.998
Lpar4,-1.9937
Gm20063,-1.9921
Noxred1,1.992
Trnp1,1.991
2810029C07Rik,-1.9875
Gm3893,-1.9865
Sstr2,1.984
Ccno,-1.9835
Tacr1,1.9825
Gm16432,1.9797
Gm7334,-1.9786
Hmmr,1.975
D630023F18Rik,1.9738
Mlip,-1.9732
Chsy3,1.972
Mfsd12,1.9683
Frzb,-1.9671
Gja3,1.9648
Rara,1.9639
Adamts1,-1.9632
Flt3l,-1.9555
BC028528,-1.9554
Fam129b,1.9486
Pde4b,1.9485
Rasgrf2,-1.9479
Vash2,1.9432
Zfp992,-1.9403
6430411K18Rik,1.9385
Tnfrsf25,1.9367
Csf1,-1.9364
F730043M19Rik,-1.9356
Col5a1,-1.9346
Ermn,1.9338
Chst9,-1.931
Ddn,-1.929
Scrt2,1.9282
D16Ertd472e,-1.9281
Gcnt1,1.9253
Stard13,-1.9225
Gch1,-1.9221
Olfm2,1.9219
Tnfrsf22,-1.9213
Nyx,-1.9212
Lpar2,1.9211
Sox4,1.9205
Dpysl3,1.9201
Ier5l,1.919
Tbc1d8b,-1.9159
Klhdc8b,1.9127
Clspn,-1.9115
Gm10432,-1.9083
Jph1,-1.9081
Ucma,1.9059
Cacna1g,1.9054
Ppp1r32,-1.9035
Echdc2,-1.9026
Megf6,1.9025
Plscr2,1.8994
Pcdh7,1.8984
Hsph1,1.8959
Nxph2,1.8948
Zfp934,-1.8938
Jund,1.8937
Cdkl1,-1.8923
Il20rb,-1.8922
Man1a,1.8862
Ap1g2,-1.8835
Tspan18,-1.8833
Tll1,1.8829
Lct,-1.8824
Grm8,1.8793
Slc2a9,-1.8789
Scml4,1.8787
Hist2h2aa1,1.8778
Csgalnact1,-1.8749
Thbs4,1.8721
Mmp19,1.8692
Fabp7,-1.8682
Mex3a,1.8633
Drd5,-1.8602
A330102I10Rik,1.8571
Sfrp4,1.8548
Slc38a11,-1.8536
Ubxn10,-1.8528
Ano2,-1.8527
Kcnip3,1.8503
5930430L01Rik,-1.8502
Rgs6,1.8485
Dgkh,-1.8466
BC030500,1.846
Frmd3,1.8455
Cdk18,1.8436
Abcc8,-1.8422
Arhgef15,1.8417
Snhg7,-1.8406
Oacyl,-1.8389
Itga7,-1.8372
Spon1,-1.8364
Gm5148,-1.8361
Kif17,1.8357
Nbeal2,-1.835
Il16,-1.8341
Gm3317,-1.8319
Gm3488,-1.8319
Kcnk12,1.8314
Socs2,1.8309
Thsd7b,1.8286
Maml2,-1.8256
Ppic,-1.8242
Pde7b,-1.8236
Lrrc55,1.823
Prc1,1.8218
Itgav,1.8209
Cela1,1.8178
Loxl1,1.8173
Nek10,-1.8168
Trpm3,-1.8144
Fam84b,-1.8144
Sox9,1.8117
Serf1,1.8098
Sntg2,-1.809
Asap3,1.8079
Cd83,-1.8068
Rbm24,-1.8064
Jag1,-1.8053
Prkab2,1.8044
Gm11681,-1.8018
Il1r1,-1.7964
Txnrd3,1.7963
Ranbp3l,-1.7956
Fam83d,-1.7939
Bgn,1.7934
Fam163b,-1.789
B430212C06Rik,1.7884
Baz1a,1.7857
Lck,-1.7857
Gm15319,-1.7842
Dgkb,1.7826
Efr3a,1.7808
Gm14057,1.778
E330009J07Rik,1.7779
Isoc1,-1.7774
Adamts6,1.7772
Lncppara,-1.7769
C1qtnf6,-1.7753
2900005J15Rik,-1.7741
Prss35,1.774
Zfp580,1.7689
Gbp3,1.7676
Tmtc4,-1.7674
Fnip2,-1.7663
Zbtb16,-1.7653
Rasl10a,1.7641
Pla2g2d,1.7639
Cyp2e1,1.7615
Rab8b,1.7594
Smpdl3b,-1.7586
Mcm6,-1.7576
Cbln4,1.7566
Cbln1,1.7563
Ahcyl2,-1.7563
